timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1647695335051,32084,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-231,text,false,,4082,117,391,391,https://www.facebook.com/,11052,0,11004
1647695335051,11052,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-231,text,true,,624,117,391,391,https://facebook.com/,11052,0,11004
1647695346105,21030,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-231,text,false,,3458,0,391,391,https://www.facebook.com/,0,0,21030
1647695335097,32053,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-110,text,false,,4082,117,390,390,https://www.facebook.com/,11025,0,10977
1647695335040,32110,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-59,text,false,,4065,117,390,390,https://www.facebook.com/,11078,0,11034
1647695335097,11025,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-110,text,true,,624,117,390,390,https://facebook.com/,11025,0,10977
1647695335040,11078,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-59,text,true,,607,117,390,390,https://facebook.com/,11078,0,11034
1647695335040,32110,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-51,text,false,,4082,117,390,390,https://www.facebook.com/,11081,0,11034
1647695346124,21026,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-110,text,false,,3458,0,390,390,https://www.facebook.com/,0,0,21026
1647695346120,21030,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-59,text,false,,3458,0,390,390,https://www.facebook.com/,0,0,21030
1647695335040,11081,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-51,text,true,,624,117,390,390,https://facebook.com/,11081,0,11034
1647695335197,31953,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-426,text,false,,4082,117,390,390,https://www.facebook.com/,10923,0,10876
1647695335100,32050,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-470,text,false,,4082,117,390,390,https://www.facebook.com/,11011,0,10964
1647695346123,21027,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-51,text,false,,3458,0,390,390,https://www.facebook.com/,0,0,21027
1647695335197,10923,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-426,text,true,,624,117,390,390,https://facebook.com/,10923,0,10876
1647695335100,11011,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-470,text,true,,624,117,390,390,https://facebook.com/,11011,0,10964
1647695346123,21027,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-426,text,false,,3458,0,390,390,https://www.facebook.com/,0,0,21027
1647695346113,21037,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-470,text,false,,3458,0,390,390,https://www.facebook.com/,0,0,21037
1647695335050,32193,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-278,text,false,,4065,117,385,385,https://www.facebook.com/,11157,0,11110
1647695335437,31806,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-683,text,false,,4082,117,385,385,https://www.facebook.com/,10770,0,10721
1647695335050,11157,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-278,text,true,,607,117,385,385,https://facebook.com/,11157,0,11110
1647695335437,10770,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-683,text,true,,624,117,385,385,https://facebook.com/,10770,0,10721
1647695346209,21034,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-278,text,false,,3458,0,385,385,https://www.facebook.com/,0,0,21034
1647695346209,21034,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-683,text,false,,3458,0,385,385,https://www.facebook.com/,0,0,21034
1647695335102,32157,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-334,text,false,,4065,117,383,383,https://www.facebook.com/,11112,0,11066
1647695335102,11112,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-334,text,true,,607,117,383,383,https://facebook.com/,11112,0,11066
1647695346217,21042,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-334,text,false,,3458,0,383,383,https://www.facebook.com/,0,0,21042
